timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1574374566.044,49.316,44.922,9.766,56.641,-75.684,0
1574374566.048,53.711,60.059,10.742,48.828,-72.754,0
1574374566.052,62.988,56.641,9.277,52.246,-63.965,0
1574374566.056,71.289,38.086,15.137,74.707,-44.922,0
1574374566.060,72.754,20.996,22.461,79.102,-8.789,0
1574374566.063,66.895,20.996,22.461,70.801,-5.859,0
1574374566.067,74.219,44.434,21.973,78.613,-4.395,0
1574374566.071,77.637,55.664,30.762,83.984,0.000,0
1574374566.075,79.102,57.617,38.574,82.031,12.695,0
1574374566.079,86.426,69.824,36.621,73.730,12.207,0
1574374566.083,70.801,59.570,29.297,64.453,-1.465,0
1574374566.087,60.547,50.781,21.484,63.477,-1.953,0
1574374566.091,73.242,47.363,21.973,67.383,-21.484,0
1574374566.095,73.730,50.781,33.203,76.660,4.395,0
1574374566.099,60.059,53.711,29.297,74.707,36.133,0
1574374566.103,69.336,35.645,26.367,62.500,18.066,0
1574374566.106,71.289,35.645,38.086,69.336,17.090,0
1574374566.110,59.570,47.852,38.574,79.590,41.992,0
1574374566.114,65.918,40.527,27.344,75.684,43.457,0
1574374566.118,68.359,42.969,20.020,66.406,26.855,0
1574374566.122,60.059,47.852,32.227,59.082,26.367,0
1574374566.126,50.781,43.457,40.527,66.406,43.945,0
1574374566.130,53.711,51.270,31.738,62.012,46.387,0
1574374566.134,60.059,48.828,37.109,63.477,45.898,0
1574374566.138,52.246,19.531,41.992,78.125,49.316,0
1574374566.142,52.734,15.625,33.691,71.289,48.828,0
1574374566.146,50.293,57.129,22.949,46.875,57.617,0
1574374566.149,47.363,63.965,18.066,47.852,47.852,0
1574374566.153,52.734,47.363,20.996,65.918,40.039,0
1574374566.157,52.734,51.270,27.832,64.941,50.781,0
1574374566.161,45.410,46.387,22.461,58.105,38.086,0
1574374566.165,48.340,52.246,18.555,63.477,43.945,0
1574374566.169,55.664,47.363,26.367,66.895,45.410,0
1574374566.173,49.316,31.250,36.621,62.500,64.941,0
1574374566.177,55.664,41.504,55.176,56.641,53.711,0
1574374566.181,50.293,43.945,62.500,60.547,40.527,0
1574374566.185,35.156,43.945,41.992,57.129,54.688,0
1574374566.188,48.828,44.434,34.668,49.316,55.176,0
1574374566.192,44.922,38.574,41.016,47.852,44.922,0
1574374566.196,38.574,19.531,39.551,44.434,45.410,0
1574374566.200,45.410,25.391,45.898,63.477,69.336,0
1574374566.204,52.734,65.918,40.039,75.684,94.238,0
1574374566.208,33.203,71.777,23.926,51.270,59.082,0
1574374566.212,21.484,53.711,21.484,36.133,31.738,0
1574374566.216,38.574,37.109,18.555,42.969,61.035,0
1574374566.220,35.156,36.621,17.090,33.203,41.016,0
1574374566.224,18.066,47.363,22.461,21.973,43.457,0
1574374566.228,21.973,43.945,34.668,25.879,65.918,0
1574374566.231,36.621,17.090,38.574,32.715,59.082,0
1574374566.235,3.906,24.414,33.691,27.344,46.875,0
1574374566.239,3.418,28.809,25.879,6.348,56.641,0
1574374566.243,35.156,47.363,25.879,9.766,83.984,0
1574374566.247,26.855,83.496,28.320,23.926,92.285,0
1574374566.251,19.043,73.730,21.973,17.090,86.914,0
1574374566.255,19.531,60.547,35.156,31.250,98.633,0
1574374566.259,20.508,46.387,40.039,41.016,117.676,0
1574374566.263,22.949,48.828,30.273,32.715,95.703,0
1574374566.267,24.902,57.617,33.203,31.250,100.098,0
1574374566.271,29.297,46.387,24.414,23.926,126.465,0
1574374566.274,36.133,49.316,24.902,24.902,111.328,0
1574374566.278,34.668,46.387,32.227,26.855,100.098,0
1574374566.282,27.832,37.598,29.297,28.320,109.863,0
1574374566.286,36.133,39.551,31.738,42.969,123.535,0
1574374566.290,38.086,34.668,38.574,35.645,136.719,0
1574374566.294,41.992,39.062,38.574,28.320,141.602,0
1574374566.298,47.852,31.250,30.762,46.387,125.488,0
1574374566.302,49.805,20.996,25.879,42.969,100.586,0
1574374566.306,49.805,39.062,40.527,54.688,121.094,0
1574374566.310,42.969,44.922,47.363,57.617,143.555,0
1574374566.313,27.344,39.062,31.738,32.227,87.402,0
1574374566.317,23.438,20.996,20.996,33.691,41.016,0
1574374566.321,47.852,14.648,21.973,54.688,82.520,0
1574374566.325,48.340,48.828,31.738,41.992,59.570,0
1574374566.329,34.180,61.035,34.668,18.555,23.926,0
1574374566.333,33.691,54.688,31.250,33.691,24.902,0
1574374566.337,22.461,40.039,28.809,41.016,6.836,0
1574374566.341,30.762,34.180,29.785,49.805,3.906,0
1574374566.345,41.016,58.594,28.809,41.504,-2.441,0
1574374566.349,25.879,40.039,26.367,29.785,-20.508,0
1574374566.353,31.738,8.301,22.949,36.621,-1.953,0
1574374566.356,37.109,29.785,20.508,35.645,6.836,0
1574374566.360,35.645,46.387,18.066,41.504,-42.969,0
1574374566.364,15.137,46.875,17.090,38.574,-44.922,0
1574374566.368,14.648,54.688,30.762,36.621,-31.250,0
1574374566.372,38.086,36.621,29.297,31.738,-31.250,0
1574374566.376,28.320,26.855,27.832,20.996,-33.691,0
1574374566.380,33.203,42.480,35.645,38.574,-30.762,0
1574374566.384,34.180,26.367,29.785,52.734,-31.250,0
1574374566.388,32.715,9.766,35.156,59.082,-30.273,0
1574374566.392,40.527,19.531,30.273,41.992,-20.508,0
1574374566.396,25.879,21.973,18.066,30.273,-29.297,0
1574374566.399,23.926,59.570,25.879,50.781,-20.996,0
1574374566.403,33.203,86.914,21.484,42.969,-40.527,0
1574374566.407,25.391,66.406,21.484,39.062,-32.715,0
1574374566.411,25.391,57.617,18.066,41.016,-2.441,0
1574374566.415,36.133,44.434,14.160,35.156,-19.043,0
1574374566.419,37.598,26.855,30.762,32.715,-16.602,0
1574374566.423,28.320,30.762,26.367,40.039,8.789,0
1574374566.427,21.973,36.133,21.484,40.039,-20.020,0
1574374566.431,24.414,38.574,29.297,32.715,-29.297,0
1574374566.435,40.527,33.203,30.762,42.969,5.859,0
1574374566.438,36.621,38.086,32.715,44.434,0.488,0
1574374566.442,38.086,53.711,29.297,46.875,13.184,0
1574374566.446,21.973,47.852,21.484,45.410,11.719,0
1574374566.450,12.207,41.504,23.438,37.598,0.488,0
1574374566.454,45.898,37.109,28.809,31.738,16.602,0
1574374566.458,40.039,35.645,23.438,38.574,23.438,0
1574374566.462,31.738,55.176,15.625,48.828,36.133,0
1574374566.466,22.949,50.293,13.184,40.039,29.297,0
1574374566.470,24.414,36.621,19.043,36.621,17.090,0
1574374566.474,40.039,24.902,23.926,35.156,30.762,0
1574374566.478,33.203,32.715,22.949,46.387,37.598,0
1574374566.481,34.180,50.293,26.367,46.387,53.223,0
1574374566.485,40.039,56.641,31.738,46.387,51.270,0
1574374566.489,23.926,66.406,27.344,51.270,29.297,0
1574374566.493,19.531,42.969,16.113,36.133,24.414,0
